,,,,,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Information Technology,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Hospitals & Health Care,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Financial Services,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education
Unit Number,Level,Grammar,Vocabulary,Functions,Product Manager,Software Engineer,UX/UI Designer,Scrum Master / Project Manager,Cybersecurity Engineer,Customer Service,Sales,Marketing,Human Resources,Finance,CEO,CTO,CPO,CMO,CHRO,Nurse,Physician / Doctor / Therapist,Healthcare Assistant,Patient Care,Pharmacist,Healthcare Administrator,Hospital Administrator,Medical Director,Business Operations,Project Manager,Software Engineer / IT,Customer Service,Sales,Marketing,Quality Assurance,Financial Analyst,Accountant,Investment Banker,Financial Advisor,Portfolio Manager,Risk Manager,Compliance Officer,Relationship Manager,Loan Officer,Underwriter,Actuary,Auditor,Credit Analyst,Trader,Chief Financial Officer (CFO),Project Manager,Construction Manager,Site Supervisor,Project Coordinator,Estimator,Quantity Surveyor,Procurement Manager,Contracts Manager,Civil Engineer,Structural Engineer,Architect,Health & Safety Manager,Quality Control Manager,Operations Manager,General Manager,Teacher,Professor,Principal,School Administrator,Instructional Designer,Curriculum Developer,Academic Advisor,Tutor,Education Consultant,Learning & Development Manager,Product Manager (EdTech),Content Developer,Teaching Assistant,Education Coordinator,Training Manager
1,Beginner,"Verb be (I am/you are); subject pronouns (I, you, he, she, it)",Greetings; alphabet; numbers 1-20,Introduce yourself; greet people; spell your name,Your First Stand-up: Introducing Yourself to a New Team,Your First Stand-up: Introducing Yourself to a New Team,Your First Stand-up: Introducing Yourself to a New Team,Your First Stand-up: Introducing Yourself to a New Team,Your First Stand-up: Introducing Yourself to a New Team,Your First Team Meeting: Introducing Yourself to the Support Team,Your First Team Meeting: Introducing Yourself to the Sales Team,Your First Team Meeting: Introducing Yourself to the Marketing Team,Your First Team Meeting: Introducing Yourself to the HR Team,Your First Team Meeting: Introducing Yourself to the Finance Team,Introducing Yourself to the Leadership Team on Your First Day,Introducing Yourself to the Engineering Leadership on Your First Day,Introducing Yourself to the Product Leadership on Your First Day,Introducing Yourself to the Marketing Leadership on Your First Day,Introducing Yourself to the Leadership Team on Your First Day,Introducing Yourself to the Ward Team on Your First Day,Introducing Yourself to the Clinical Team on Your First Day,Introducing Yourself to the Ward Team on Your First Day,Introducing Yourself to Patients and the Care Team on Your First Day,Introducing Yourself to the Pharmacy Team on Your First Day,Introducing Yourself to the Administration Team on Your First Day,Introducing Yourself to the Hospital Staff on Your First Day,Introducing Yourself to the Clinical Leadership on Your First Day,Introducing Yourself to the Operations Team on Your First Day,Introducing Yourself to the Project Team on Your First Day,Introducing Yourself to the IT Team on Your First Day,Introducing Yourself to the Patient Services Team on Your First Day,Introducing Yourself to the Sales Team on Your First Day,Introducing Yourself to the Marketing Team on Your First Day,Introducing Yourself to the Quality Team on Your First Day,Introducing Yourself to the Finance Team on Your First Day,Introducing Yourself to the Accounting Team on Your First Day,Introducing Yourself to the Investment Banking Team on Your First Day,Introducing Yourself to the Advisory Team on Your First Day,Introducing Yourself to the Portfolio Team on Your First Day,Introducing Yourself to the Risk Team on Your First Day,Introducing Yourself to the Compliance Team on Your First Day,Introducing Yourself to the Relationship Management Team on Your First Day,Introducing Yourself to the Lending Team on Your First Day,Introducing Yourself to the Underwriting Team on Your First Day,Introducing Yourself to the Actuarial Team on Your First Day,Introducing Yourself to the Audit Team on Your First Day,Introducing Yourself to the Credit Team on Your First Day,Introducing Yourself to the Trading Desk on Your First Day,Introducing Yourself to the Leadership Team on Your First Day,Introducing Yourself to the Project Team on Your First Day,Introducing Yourself to the Site Team on Your First Day,Introducing Yourself to the Site Crew on Your First Day,Introducing Yourself to the Project Team on Your First Day,Introducing Yourself to the Estimating Team on Your First Day,Introducing Yourself to the Commercial Team on Your First Day,Introducing Yourself to the Procurement Team on Your First Day,Introducing Yourself to the Contracts Team on Your First Day,Introducing Yourself to the Engineering Team on Your First Day,Introducing Yourself to the Structural Team on Your First Day,Introducing Yourself to the Design Team on Your First Day,Introducing Yourself to the Health & Safety Team on Your First Day,Introducing Yourself to the Quality Team on Your First Day,Introducing Yourself to the Operations Team on Your First Day,Introducing Yourself to the Leadership Team on Your First Day,Introducing Yourself to the Teaching Team on Your First Day,Introducing Yourself to the Faculty on Your First Day,Introducing Yourself to the School Staff on Your First Day,Introducing Yourself to the Administration Team on Your First Day,Introducing Yourself to the Design Team on Your First Day,Introducing Yourself to the Curriculum Team on Your First Day,Introducing Yourself to the Advising Team on Your First Day,Introducing Yourself to Your Students on Your First Day,Introducing Yourself to a New Client School on Your First Day,Introducing Yourself to the L&D Team on Your First Day,Introducing Yourself to the Product Team on Your First Day,Introducing Yourself to the Content Team on Your First Day,Introducing Yourself to the Classroom Team on Your First Day,Introducing Yourself to the Programme Team on Your First Day,Introducing Yourself to the Training Team on Your First Day
2,Beginner,"Be (he/she/it); possessive adjectives (my, your, his, her); articles (a/an)",Countries; nationalities; jobs,Say where you're from; ask/answer about nationality and occupation,Kickoff Call with an International Engineering Team,Kickoff Call with an International Engineering Team,Kickoff Call with an International Team,Kickoff Call with an International Team,Kickoff Call with an International Team,Kickoff Call with an International Client,Kickoff Call with an International Client,Kickoff Call with an International Team,Kickoff Call with an International Team,Kickoff Call with an International Team,Kickoff Call with an International Business Partner,Kickoff Call with an International Team,Kickoff Call with an International Team,Kickoff Call with an International Team,Kickoff Call with an International Team,Welcoming an Internationally Trained Nurse to the Ward,Meeting an International Medical Colleague,Welcoming a New International Colleague to the Ward,Welcoming an International Patient to the Unit,Meeting an International Pharmacy Colleague,Meeting International Colleagues at Staff Orientation,Hosting an International Hospital Delegation,Hosting an International Clinical Delegation,Kickoff Call with an International Vendor,Kickoff Call with an International Project Team,Kickoff Call with an International IT Team,Assisting an International Patient at the Front Desk,Kickoff Call with an International Client,Kickoff Call with an International Agency,Kickoff Call with an International Audit Team,Kickoff Call with an International Finance Team,Kickoff Call with an International Accounting Team,Kickoff Call with an International Deal Team,Meeting an International Client,Kickoff Call with an International Investment Team,Kickoff Call with an International Risk Team,Kickoff Call with an International Compliance Team,Meeting an International Client,Meeting an International Loan Applicant,Kickoff Call with an International Underwriting Team,Kickoff Call with an International Actuarial Team,Kickoff Call with an International Audit Team,Kickoff Call with an International Credit Team,Kickoff Call with an International Trading Desk,Kickoff Call with an International Business Partner,Kickoff Call with an International Project Team,Kickoff Call with an International Site Team,Meeting an International Subcontractor on Site,Kickoff Call with an International Project Team,Kickoff Call with an International Estimating Team,Kickoff Call with an International Commercial Team,Kickoff Call with an International Supplier,Kickoff Call with an International Contractor,Kickoff Call with an International Engineering Team,Kickoff Call with an International Engineering Team,Kickoff Call with an International Design Team,Kickoff Call with an International Safety Team,Kickoff Call with an International Quality Team,Kickoff Call with an International Operations Team,Kickoff Call with an International Business Partner,Welcoming an International Student to the Class,Meeting an International Academic Colleague,Hosting an International School Delegation,Meeting International Colleagues at Orientation,Kickoff Call with an International Design Team,Kickoff Call with an International Curriculum Team,Meeting an International Student for Advising,Welcoming an International Student to a Tutoring Session,Kickoff Call with an International Client School,Kickoff Call with an International L&D Team,Kickoff Call with an International Product Team,Kickoff Call with an International Content Team,Welcoming an International Student to the Classroom,Kickoff Call with an International Programme Team,Kickoff Call with an International Training Team
3,Beginner,Possessive 's; plural nouns; this/that,Family members; ages; physical descriptions,Talk about your family; describe people,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break,Informal Chat During a Coffee Break
4,Beginner,"There is/there are; demonstratives (this/that/these/those); prepositions of place (in, on, under, next to)",Household objects; furniture; rooms,Describe a room; ask where things are,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing the Office to a New Team Member,Showing a New Colleague Around the Ward,Showing a New Colleague Around the Clinic,Showing a New Colleague Around the Ward,Showing a New Patient Around the Unit,Showing a New Colleague Around the Pharmacy,Showing a New Colleague Around the Office,Showing a Visitor Around the Hospital,Showing a New Colleague Around the Department,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the IT Department,Showing a New Colleague Around the Front Desk Area,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Department,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Branch,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Trading Floor,Showing a New Colleague Around the Office,Showing a New Team Member Around the Site,Showing a New Team Member Around the Site,Showing a New Worker Around the Site,Showing a New Team Member Around the Site Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Engineer Around the Site,Showing a New Engineer Around the Site,Showing a New Colleague Around the Design Studio,Showing a New Team Member Around the Site,Showing a New Team Member Around the Site,Showing a New Colleague Around the Office,Showing a Visitor Around the Site,Showing a New Teacher Around the School,Showing a New Colleague Around the Campus,Showing a New Staff Member Around the School,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Advising Centre,Showing a New Student Around the Learning Centre,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Colleague Around the Office,Showing a New Assistant Around the Classroom,Showing a New Colleague Around the Office,Showing a New Colleague Around the Training Room
5,Beginner,Present simple (affirmative/negative); adverbs of frequency,Daily routines; time expressions; days of the week,Describe a typical day; tell the time,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Shift Schedule to a New Nurse,Explaining Your Clinic Schedule to a New Colleague,Explaining Your Shift Schedule to a New Colleague,Explaining the Daily Care Routine to a New Colleague,Explaining the Pharmacy Rota to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Hospital Operating Hours to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Shift Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Market Hours and Trading Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Project Schedule to a New Team Member,Explaining the Site Schedule to a New Team Member,Explaining the Daily Site Routine to a New Worker,Explaining the Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Site Work Schedule to a New Engineer,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Site Safety Routine to a New Colleague,Explaining the Inspection Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Class Timetable to a New Teacher,Explaining Your Teaching Schedule to a New Colleague,Explaining the School Timetable to a New Staff Member,Explaining the School Calendar to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining the Advising Schedule to a New Colleague,Explaining the Tutoring Schedule to a New Student,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Colleague,Explaining Your Weekly Schedule to a New Team Member,Explaining Your Weekly Schedule to a New Colleague,Explaining the Class Timetable to a New Assistant,Explaining the Programme Schedule to a New Colleague,Explaining the Training Schedule to a New Colleague
6,Beginner,Present simple (questions); object pronouns,School/work subjects; places of work; classroom objects,Talk about your job/studies; ask about someone's routine,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Hire About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role,Asking a New Colleague About Their Role
7,Beginner,Countable/uncountable nouns; some/any; how much/how many,Food; drink; meals; containers and quantities,Order food; express likes/dislikes; shop for groceries,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team,Having Lunch with the Team
8,Beginner,Can (ability); like/love/hate + -ing,Hobbies; sports; free-time activities,Talk about abilities and interests; invite someone,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning the Team Offsite,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event,Planning a Team Social Event
9,Beginner,Prepositions of place and movement; imperatives,Places in a town; shops; directions,Ask for and give directions; describe your neighborhood,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Cafeteria Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Coffee Shop Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Site Canteen Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is,Explaining Where the Staff Room Is
